ISBN,Title,Author,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
9780007461240,The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,Paperback,$19.99,$18.25, 9780007461240,2012-7-1,"HarperCollins Publishers",224
9780007461240,The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,Paperback,$19.99,$18.25, 9780007461240,2012-7-1,"HarperCollins Publishers",224
9780307762528,book not found,,,,, 9780307762528,2010-8-11,,
9780743422277,Star Trek,Diane Duane,eBook,,$5.99, 9780743422277,2001-12-3,'Pocket Books/Star Trek',256
9780241290002,Familiar Stranger,Stuart Hall,eBook,,$15.99, 9780241290002,,'Penguin Books Ltd',
9780061763403,book not found,,,,,,,,
9780463983096,Across the Seas,Griff Hosker,eBook,,$9.19, 9780463983096,2019-3-4,,
9780241365984,American Royals,Katharine McGee,eBook,,$9.99, 9780241365984,,"""Penguin Random House Children's UK""",
9781322117171,book not found,,,,, 9781322117171,,'US',
9780141911717,Homage to Catalonia,George Orwell,eBook,,$15.99, 9780141911717,2003-6-5,'Penguin Books Ltd',272
9780141930169,The Twits,Roald Dahl,eBook,,$9.99, 9780141930169,,"""Penguin Random House Children's UK""",
9781250316783,book not found,,,,, 9781250316783,,,
9780748115358,The Great Hunt,Robert Jordan,eBook,,$11.99, 9780748115358,2009-11-17,"'Little, Brown Book Group', 'Digital original'",736
9780141342436,Magnus Chase and the Sword of Summer (Book 1),Rick Riordan,eBook,,$9.99, 9780141342436,2015-10-6,"'9 - 12 years old', '1'",528
9780141903125,Boy,Roald Dahl,eBook,,$9.99, 9780141903125,,"""Penguin Random House Children's UK""",
9780141928685,Angels,Marian Keyes,eBook,,$15.99, 9780141928685,2005-3-31,'Penguin Books Ltd',496
9780755386390,The Lost (Paula Maguire 1),Claire McGowan,eBook,,$11.99, 9780755386390,2013-4-11,"'Headline', 'Digital original'",305
9780230739673,book not found,,,,,,,,
9781310517228,Anxiety,Joshua Fletcher,eBook,,$9.38, 9781310517228,,,
9780698137653,George Washington's Secret Six,Brian Kilmeade,eBook,$22.29,$17.99, 9780698137653,,'1',
9780956308641,book not found,,,,, 9780956308641,,'Sort Of Books',
9781405921107,Jamie's Food Tube,Gennaro Contaldo,eBook,,$14.99, 9781405921107,,'Penguin Books Ltd',
9780575087057,The Name of the Wind,Patrick Rothfuss,eBook,,$12.99, 9780575087057,2010-4-22,"'Orion', 'Digital original'",672
9780440336358,Darkfever,Karen Marie Moning,eBook,$14.66,$11.99, 9780440336358,2006-10-31,'1',
9780755332557,Kiss,Jill Mansell,Paperback,$26.99,$26.25, 9780755332557,,"'GB', '3.3 x 19.7 x 13'",
9780470901038,Business Model Generation,Alexander Osterwalder,eText,,$45.09, 9780470901038,,'1',
9780698185890,book not found,,,,, 9780698185890,,,1
9780857202994,The Night Stalker,Chris Carter,eBook,,$12.99, 9780857202994,,'Simon & Schuster UK',
9780446539654,The Jury Master,Robert Dugoni,eBook,,$17.99, 9780446539654,,'Digital original',
9781310869686,book not found,,,,, 9781310869686,,,
9780241242643,The Book of Why,Judea Pearl,eBook,,$16.99, 9780241242643,2018-5-15,'Penguin Books Ltd',400
9780748109265,Blow Fly,Patricia Cornwell,eBook,,$11.99, 9780748109265,2008-9-4,"'Little, Brown Book Group', 'Digital original'",544
9780241980750,The Sapphire Widow,Dinah Jefferies,eBook,,$15.99, 9780241980750,,'Penguin Books Ltd',
9780330469364,book not found,,,,, 9780330469364,,,
9780241379011,Couples That Work,Jennifer Petriglieri,eBook,,$18.99, 9780241379011,,'Penguin Books Ltd',
9780575088436,Time of Contempt,Andrzej Sapkowski,eBook,,$12.99, 9780575088436,2013-6-24,"'Orion', 'Digital original'",320
9781405927697,Typhoon Fury,Clive Cussler,eBook,,$15.99, 9781405927697,2017-11-16,'Penguin Books Ltd',480
9780755350841,The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,eBook,,$12.99, 9780755350841,2008-9-4,"'Headline', 'Digital original'",448
9781101117996,The Divine Comedy,Dante Alighieri,eBook,$25.70,$20.99, 9781101117996,,,
9781101209356,A Maiden's Grave,Jeffery Deaver,eBook,$14.66,$11.99, 9781101209356,,,
9780755373970,No One Left To Tell (The Baltimore Series Book 2),Karen Rose,eBook,,$11.99, 9780755373970,2012-1-5,"'Headline', 'Digital original'",451
9780755380558,The Snow Child,Eowyn Ivey,eBook,,$12.99, 9780755380558,,'Digital original',
9780439023481,The Hunger Games (USA Edition),Suzanne Collins,Hardcover,,$40.80, 9780439023481,2008-10-1,"'12 - 17 years old', 'Scholastic US'",384
9781250232984,Made Things,Adrian Tchaikovsky,eBook,$6.22,$5.99, 9781250232984,,,
9780141926902,Percy Jackson and the Sea of Monsters (Book 2),Rick Riordan,eBook,,$12.99, 9780141926902,2008-5-1,"'9 - 12 years old', '2'",288
9780571333141,Conversations with Friends,Sally Rooney,eBook,$16.49,$14.99, 9780571333141,,'1',
9781407035536,Strata,Terry Pratchett,eBook,,$14.99, 9781407035536,,'Transworld',
9780141966151,Misbehaving,Richard H. Thaler,eBook,,$16.99, 9780141966151,,'Penguin Books Ltd',
9780230225916,book not found,,,,,,,,
9780804141116,book not found,,,,, 9780804141116,,'US',
9780141929385,My East End,Gilda O'Neill,eBook,,$15.99, 9780141929385,,'Penguin Books Ltd',
9781471144011,book not found,,,,, 9781471144011,2015-6-2,"'9+ years old', 'Simon & Schuster UK'",304
9780141964089,The Promise,Lesley Pearse,eBook,,$15.99, 9780141964089,2012-1-19,'Penguin Books Ltd',528
9780141929576,Artemis Fowl and The Arctic Incident,Eoin Colfer,eBook,,$9.99, 9780141929576,2002-6-6,"'9 - 12 years old', '2'",336
9780141957869,23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,eBook,,$15.99, 9780141957869,,'Penguin Books Ltd',
9780141929743,Excalibur,Bernard Cornwell,eBook,,$15.99, 9780141929743,2007-11-1,'Penguin Books Ltd',496
9780544836730,Myers+Chang at Home,Joanne Chang,eBook,$46.19,$36.99, 9780544836730,,,
9781328527905,book not found,,,,, 9781328527905,2019-1-8,'HMH Books',
9780307965493,Mastering Color Knitting,Melissa Leapman,eBook,$15.42,$12.99, 9780307965493,,,
9780547928517,book not found,,,,, 9780547928517,,'7+',
9780646987286,How I Became The Fittest Woman On Earth,Tia-Clair Toomey,eBook,$17.59,$16.99, 9780646987286,,'1',
9781101042182,Dubliners,James Joyce,eBook,$8.55,$7.99, 9781101042182,,,
9780761174981,Stitch 'N Bitch Crochet,Debbie Stoller,eBook,,$23.99, 9780761174981,,,
9781365501210,book not found,,,,, 9781365501210,,,
9780748115396,Lord of Chaos,Robert Jordan,eBook,,$12.99, 9780748115396,2010-3-16,"'Little, Brown Book Group', 'Digital original'",1056
9780857208347,A Wartime Christmas,Carol Rivers,eBook,,$8.99, 9780857208347,,'Simon & Schuster UK',
9780755376605,Blood Ties,Samantha Hayes,eBook,,$12.99, 9780755376605,,'Digital original',
9780785170655,Infinity Gauntlet,Jim Starlin,eBook,$16.12,$12.99, 9780785170655,,,
9781405926959,No Way Back,M. J. Arlidge,eBook,,$2.99, 9781405926959,2016-8-8,"'Penguin Books Ltd', 'Digital original'",40
9780241397817,Feel Better In 5,Dr Rangan Chatterjee,eBook,,$19.99, 9780241397817,,'Penguin Books Ltd',
9781405919470,book not found,,,,, 9781405919470,,,
9780316338363,book not found,,,,, 9780316338363,,'US',
9780991190928,Escaping Destiny,Amelia Hutchins,eBook,,$6.99, 9780991190928,2015-7-30,'3',
9780141967561,The Mark of Athena (Heroes of Olympus Book 3),Rick Riordan,eBook,,$12.99, 9780141967561,2012-10-2,"'6 - 8 years old', '3'",592
9780470893869,The Five Dysfunctions of a Team,Patrick M. Lencioni,eText,,$32.99, 9780470893869,2010-6-3,"'Wiley Professional Development (P&T)', '13'",240
9780698407091,Christmas Bells,Jennifer Chiaverini,eBook,$20.57,$16.99, 9780698407091,,,
9780857206473,The 7 Habits Of Highly Effective Teenagers,Sean Covey,eBook,,$16.99, 9780857206473,,'Simon & Schuster UK',
9780141919959,Nineteen Eighty-Four,George Orwell,eBook,,$10.99, 9780141919959,2004-1-29,'Penguin Books Ltd',400
9781310839696,The King's Men,Nora Sakavic,eBook,,$1.43, 9781310839696,,,
9780061949098,book not found,,,,,,,,
9780307978882,I'm a T. Rex!,Dennis R. Shealy,eBook,$8.79,$7.99, 9780307978882,2012-4-25,"""Random House Children's Books""",
9780230770072,book not found,,,,,,,,
9780486114750,Dracula,Bram Stoker,eBook,,$1.45, 9780486114750,2012-2-6,'Dover Publications',336
9781405935166,Lucy Sullivan is Getting Married,Marian Keyes,eBook,,$15.99, 9781405935166,,'Penguin Books Ltd',
9780141941448,The Beach,Alex Garland,eBook,,$15.99, 9780141941448,,'Penguin Books Ltd',
9780575087309,The Green Mile,,eBook,,$13.99, 9780575087309,,'Digital original',
9780553904567,Persuasion,Jane Austen,eBook,,$3.99, 9780553904567,,,
9780857389572,The Crowded Grave,Martin Walker,eBook,,$11.99, 9780857389572,2011-10-29,"'Quercus', '1'",320
9781405914895,Eeny Meeny,M. J. Arlidge,eBook,,$15.99, 9781405914895,2014-5-8,'Penguin Books Ltd',464
9780141922324,Tao Te Ching,Lao Tzu,eBook,,$10.99, 9780141922324,,'Penguin Books Ltd',
9780393069211,book not found,,,,, 9780393069211,,,
9780544859562,The Cake Bible,Rose Levy Beranbaum,eBook,,$42.99, 9780544859562,,'1',
9780307538376,Midnight in the Garden of Good and Evil,John Berendt,eBook,$25.70,$20.99, 9780307538376,,,
9780755399604,A Liverpool Legacy,Anne Baker,Paperback,,$27.75, 9780755399604,,"'GB', '2.4 x 13 x 19.6'",
9781407059198,The Rainmaker,John Grisham,eBook,,$15.99, 9781407059198,,'Random House',
